AUC,binary_accuracy,loss,precision,recall,val_AUC,val_binary_accuracy,val_loss,val_precision,val_recall
0.3240576386451721,0.31043389439582825,1.0284727811813354,0.8250798583030701,0.29649826884269714,0.37027594447135925,0.23828125,0.7968944907188416,0.4035087823867798,0.06068601459264755
0.4558461904525757,0.3016528785228729,0.7927483320236206,0.8786126971244812,0.26131805777549744,0.5564902424812317,0.294921875,0.7342343926429749,0.8461538553237915,0.05804749205708504
0.5690856575965881,0.35072314739227295,0.7048487663269043,0.9244951605796814,0.30249929428100586,0.6478762626647949,0.33203125,0.6933920383453369,0.9512194991111755,0.1029023751616478
0.6480187177658081,0.4137396812438965,0.6210819482803345,0.9492273926734924,0.3695216178894043,0.7113794088363647,0.38671875,0.6591307520866394,0.9710144996643066,0.17678099870681763
0.7209935188293457,0.4899276793003082,0.5860209465026855,0.9653250575065613,0.4482461214065552,0.744073212146759,0.44140625,0.6330294013023376,0.9894737005233765,0.24802111089229584
0.749936044216156,0.5418388247489929,0.5497308373451233,0.9682539701461792,0.5076040029525757,0.7643283605575562,0.482421875,0.6117562651634216,0.9913793206214905,0.30343008041381836
0.7856107354164124,0.5916838645935059,0.5162366628646851,0.9765586256980896,0.5607101917266846,0.7799413800239563,0.52734375,0.5905988812446594,0.9858155846595764,0.3667546212673187
0.799424946308136,0.6162189841270447,0.49894973635673523,0.9811957478523254,0.5844342112541199,0.7920130491256714,0.5390625,0.5862094759941101,0.9863945841789246,0.3825857639312744
0.8136368989944458,0.6464359760284424,0.4730203151702881,0.9791383147239685,0.6200459599494934,0.7992839217185974,0.568359375,0.5757525563240051,0.9876543283462524,0.42216357588768005
0.838379979133606,0.6738119721412659,0.45336323976516724,0.9822434186935425,0.6498567461967468,0.8110381364822388,0.5859375,0.5630626678466797,0.988304078578949,0.4459103047847748
0.8387269377708435,0.6859503984451294,0.44144612550735474,0.9838021993637085,0.6620768904685974,0.8141428232192993,0.603515625,0.5520212650299072,0.9835164546966553,0.47229552268981934
0.8335368037223816,0.6918904781341553,0.4500991702079773,0.9823603630065918,0.6702005863189697,0.8160970211029053,0.603515625,0.5561673045158386,0.9835164546966553,0.47229552268981934
0.8480573296546936,0.7148760557174683,0.43523234128952026,0.9841399192810059,0.6944046020507812,0.8224354386329651,0.62109375,0.5389001369476318,0.9842932224273682,0.4960422217845917
0.8472916483879089,0.7029958963394165,0.4242590367794037,0.9858392477035522,0.6795865893363953,0.826492428779602,0.62890625,0.53094881772995,0.9846153855323792,0.5065963268280029
0.8524779081344604,0.7159090638160706,0.41453787684440613,0.9830096960067749,0.6966742873191833,0.8252524137496948,0.630859375,0.5262330174446106,0.9846938848495483,0.5092348456382751
0.8637534379959106,0.7252066135406494,0.4137272536754608,0.9879032373428345,0.703214704990387,0.822752833366394,0.6328125,0.5285665392875671,0.9847715497016907,0.5118733644485474
0.8569172620773315,0.7213326692581177,0.4071732461452484,0.9866342544555664,0.699597954750061,0.8266709446907043,0.640625,0.5218086242675781,0.9850746393203735,0.5224274396896362
